,count,mean,std,min,25%,50%,75%,max
opened_emails,31991.0,29.3477540558282,49.43907881842624,0.0,3.0,11.0,35.0,1211.0
age_in_days,31991.0,145.16210809290112,115.66475163364979,1.0,60.0,112.0,196.0,417.0
webinar_enrollments,31991.0,0.37066675002344407,0.9311838015221869,0.0,0.0,0.0,0.0,21.0
course_enrollments,31991.0,2.1734237754368415,5.214150573666549,0.0,0.0,0.0,2.0,128.0
is_checkout,31991.0,1.6885374011440717,4.540624817281479,0.0,0.0,0.0,2.0,306.0
is_referrer_linkedin,31991.0,0.02750773655090494,0.3094728848432074,0.0,0.0,0.0,0.0,20.0
is_ai,31991.0,0.261073426901316,2.055311395110499,0.0,0.0,0.0,0.0,237.0
is_fcop_ud,31991.0,5.017473664468132,13.783154330619817,0.0,0.0,1.0,5.0,601.0
is_fcop_cs,31991.0,0.6602481948047888,3.9192706769551346,0.0,0.0,0.0,0.0,488.0
is_referrer_github,31991.0,0.12025257103560376,1.3655016741499788,0.0,0.0,0.0,0.0,105.0
is_referrer_facebook,31991.0,0.5819761808008502,1.693087351129029,0.0,0.0,0.0,0.0,61.0
is_legal,31991.0,0.07789690850551717,0.3315201709663289,0.0,0.0,0.0,0.0,11.0
is_mobile,31991.0,0.9818073833265606,5.879017350786266,0.0,0.0,0.0,0.0,210.0
is_hire_talent,31991.0,0.07442718264511894,0.6088281673501449,0.0,0.0,0.0,0.0,36.0
count_visits,31991.0,49.72010878059454,88.21913305945534,1.0,10.0,23.0,55.0,4130.0
is_referrer_tecmundo,31991.0,0.016473383139007845,0.17576862216156564,0.0,0.0,0.0,0.0,10.0
is_robotics,31991.0,0.14669750867431466,0.923530550363605,0.0,0.0,0.0,0.0,54.0
is_drive,31991.0,0.11409458910318528,0.9718378117824527,0.0,0.0,0.0,0.0,56.0
is_referrer_live,31991.0,0.18777156075146134,1.3313618671163785,0.0,0.0,0.0,0.0,56.0
is_referrer_instagram,31991.0,0.0003438467068863118,0.026811498379148188,0.0,0.0,0.0,0.0,4.0
is_event,31991.0,1.5176143290300397,8.964589127000025,0.0,0.0,0.0,1.0,964.0
is_referrer_computerworld,31991.0,0.011878340783345315,0.15286021933544197,0.0,0.0,0.0,0.0,6.0
is_ndop,31991.0,8.758682129348879,20.40247046472441,0.0,1.0,4.0,10.0,1583.0
is_catalog_all,31991.0,4.566628114157107,8.801374846732642,0.0,0.0,2.0,5.0,427.0
is_contact,31991.0,0.2414429058172611,0.9100373734710452,0.0,0.0,0.0,0.0,53.0
is_referrer_catracalivre,31991.0,0.04570035322434435,0.45446573972463855,0.0,0.0,0.0,0.0,29.0
is_business,31991.0,0.05936044512519146,0.35291287831158985,0.0,0.0,0.0,0.0,9.0
is_catalog_nanodegrees,31991.0,1.4962958332030885,4.3617211237645925,0.0,0.0,0.0,1.0,169.0
is_50back,31991.0,0.14582226251133132,0.606280022453436,0.0,0.0,0.0,0.0,37.0
is_payment,31991.0,0.0485449032540402,0.7457205147564336,0.0,0.0,0.0,0.0,47.0
is_referrer_bing,31991.0,0.03801069050670501,0.40471505960748005,0.0,0.0,0.0,0.0,28.0
is_home,31991.0,10.894345284611298,30.324990177945686,0.0,1.0,3.0,10.0,2948.0
is_nanodegree_home,31991.0,6.148885624081773,11.98583338231047,0.0,1.0,3.0,7.0,601.0
is_success,31991.0,0.031102497577443655,0.2501673722263259,0.0,0.0,0.0,0.0,8.0
is_referrer_infomoney,31991.0,0.1606076709074427,0.7329770276948264,0.0,0.0,0.0,0.0,49.0
is_signin,31991.0,3.3347816573411273,7.00226036039354,0.0,0.0,1.0,4.0,393.0
is_referrer_anhanguera,31991.0,0.007720921509174456,0.18985630969329984,0.0,0.0,0.0,0.0,12.0
is_android,31991.0,0.1592635428714326,1.067897412820501,0.0,0.0,0.0,0.0,124.0
is_referrer_cbsi,31991.0,0.03550998718389547,0.5184215304469361,0.0,0.0,0.0,0.0,43.0
is_us,31991.0,0.0888062267512738,0.4901244653695066,0.0,0.0,0.0,0.0,24.0
is_referrer_google,31991.0,4.512988027882842,8.253880941296856,0.0,1.0,2.0,5.0,340.0
is_fcop_st,31991.0,0.11390703635397456,0.662837562488759,0.0,0.0,0.0,0.0,35.0
is_referrer_android,31991.0,1.1801131568253571,3.653592732627837,0.0,0.0,0.0,1.0,156.0
is_tech_requirements,31991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_jobs,31991.0,0.06207995998874684,0.4032033811057736,0.0,0.0,0.0,0.0,28.0
is_paying_student,31991.0,0.09249476415241786,0.28972764225325126,0.0,0.0,0.0,0.0,1.0
