,opened_emails,age_in_days,webinar_enrollments,course_enrollments,is_referrer_bing,is_referrer_facebook,is_ndop,is_catalog_all,is_robotics,is_referrer_cbsi,is_business,is_referrer_infomoney,is_referrer_catracalivre,is_jobs,is_catalog_nanodegrees,is_checkout,is_mobile,is_tech_requirements,is_contact,is_referrer_anhanguera,is_success,is_us,is_legal,is_referrer_instagram,is_fcop_ud,is_payment,is_referrer_linkedin,is_signin,is_referrer_tecmundo,is_hire_talent,is_home,is_ai,is_fcop_st,is_drive,is_50back,is_fcop_cs,is_event,is_android,is_referrer_google,is_referrer_android,is_referrer_computerworld,is_referrer_live,is_nanodegree_home,count_visits,is_referrer_github,is_paying_student
0,71,409,0,6,0,0,3,35,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,43,0,0,72,0,0,113,0,0,0,0,27,3,0,4,2,0,0,73,392,0,0
1,17,406,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,11,0,0,0,0,0,0,0,4,0,0,0,12,45,0,0
2,29,393,0,0,0,0,32,4,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,5,0,0,4,2,0,19,0,0,0,0,0,0,3,8,8,0,0,15,95,0,0
3,2,390,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,1,0,0,0,6,6,0,0,10,38,0,0
4,1,381,0,23,0,0,7,47,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,25,0,0,47,0,0,159,0,5,0,0,18,1,0,26,1,0,0,56,394,0,0
5,9,390,0,2,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,41,0,2,0,0,7,0,0,26,0,0,0,22,113,0,0
6,11,372,0,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,3,18,0,0
7,124,339,1,4,0,0,21,2,0,0,0,0,0,1,1,11,31,0,0,0,0,0,1,0,4,0,0,7,0,0,19,0,0,0,2,0,4,0,12,8,0,0,17,93,0,0
8,18,404,0,14,0,0,4,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,21,0,0,10,0,0,52,1,5,0,0,5,1,0,14,0,0,0,15,152,0,0
9,70,329,1,6,0,0,16,39,1,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,27,0,0,12,0,0,69,0,0,0,0,3,9,0,1,2,0,0,21,231,0,0
10,60,309,1,3,0,0,3,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,0,0,3,0,0,8,0,0,0,0,1,15,0,2,0,0,0,5,61,0,0
11,116,397,0,1,0,0,16,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,0,0,0,0,0,0,0,7,13,0,0,6,53,0,0
12,21,305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0
13,92,330,1,3,0,0,9,8,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,6,0,3,10,0,1,22,0,0,0,0,2,12,1,5,2,0,0,10,98,0,0
14,79,298,1,2,0,0,8,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,32,0,0,0,0,0,10,0,13,2,0,0,10,111,0,0
15,33,297,0,4,0,0,17,11,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,9,0,0,1,0,0,6,2,0,0,0,4,0,0,9,1,0,0,14,73,0,0
16,116,363,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,9,0,0,0,1,0,0,1,3,2,0,0,2,23,0,0
17,35,291,0,14,0,1,48,36,0,0,0,0,0,0,19,7,0,0,0,0,3,0,1,0,64,0,0,3,0,0,35,0,0,0,6,1,0,1,36,21,0,0,24,260,1,0
18,69,291,1,1,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,9,0,0,2,0,0,0,0,0,12,0,0,0,0,0,9,51,0,0
19,115,286,0,7,0,1,25,24,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,31,0,0,7,0,0,37,1,0,0,0,1,0,0,33,0,0,0,13,157,0,0
20,44,282,1,5,0,2,70,11,1,0,0,0,0,0,13,2,0,0,0,0,0,2,0,0,34,0,0,3,0,0,48,3,0,2,3,0,30,0,28,1,0,0,36,264,27,0
21,94,410,1,21,0,0,13,11,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,24,0,0,12,0,0,65,0,0,0,0,2,1,0,6,15,0,0,19,152,1,0
22,63,374,1,6,0,0,8,4,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,1,0,0,0,12,0,7,0,0,0,3,46,0,0
23,7,330,0,15,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,13,0,0,0,0,0,0,0,3,0,0,0,6,50,0,0
