trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.9524385287749643}",25,15,-48.555152771855816,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.35, 'e': 0.9071966578731663}",30,0,-101.65363287624872,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.35, 'e': 0.8641612590519134}",20,0,-1.8160917205071203,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.35, 'e': 0.8232247213980144}",20,6,-79.75851828390329,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.35, 'e': 0.7842846822444441}",25,0,-78.64060878992251,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.35, 'e': 0.7472437712103582}",25,0,-81.65993878433011,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.7120093667244226}",20,0,-26.475868187457557,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.35, 'e': 0.6784933644226406}",25,0,-105.61221374341812,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.35, 'e': 0.6466119568415519}",20,15,3.950193400429892,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.35, 'e': 0.6162854238559202}",30,0,-71.02349708107491,"{0: 17, 1: 8, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.35, 'e': 0.5874379333368959}",25,0,-3.06618655850668,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.35, 'e': 0.5599973515321945}",25,0,-22.48495625351685,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.35, 'e': 0.5338950626941438}",25,0,-36.99109789963996,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.35, 'e': 0.5090657975045733}",20,10,-20.02983333274332,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.35, 'e': 0.4854474698675225}",20,0,-51.26267666630695,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.35, 'e': 0.46298102166166144}",25,9,-107.8553138166494,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 1}",1
17,False,"{'a': 0.35, 'e': 0.4416102750642251}",20,8,-34.3617962980493,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.35, 'e': 0.4212817920771952}",25,0,-39.65035298702357,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
