trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,23,-83.06431453138576,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-50.68878916617395,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,5,-36.09675874864688,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.96786630491192,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-151.39310499355628,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-226.2959748342075,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-19.012091423032217,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,10,7.897618426619451,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-174.8539448559189,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-206.65909701420424,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-248.36879078859383,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-133.31112550775302,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-182.1591136881281,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-188.2464598665215,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-108.04797217294107,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-153.5125249354607,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-101.20818526189348,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-50.2857492904329,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-76.11495044368259,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-118.56760080288969,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,2,-164.54420798974746,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",20,0,-51.506860932644614,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,10,-62.160098544141285,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-125.0802155816252,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-152.12344983362865,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-50.679742988101,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-76.4844261252685,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-172.0609869332511,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-184.7665947915677,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,0,-139.75813745014395,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
